,pitcher_id,FF,SL,FT,CH,CU,SI,FC,KC,FS,KN
619,461829,0.3290444060881845,0.0,0.23599560646477327,0.2068099796014436,0.2281500078455986,0.0,0.0,0.0,0.0,0.0
620,607237,0.6096687555953447,0.2775290957923008,0.01611459265890779,0.09668755595344673,0.0,0.0,0.0,0.0,0.0,0.0
621,635903,0.034055727554179564,0.20743034055727555,0.0,0.22291021671826625,0.006191950464396285,0.5294117647058824,0.0,0.0,0.0,0.0
622,461833,0.4104833219877468,0.0,0.13274336283185842,0.089857045609258,0.0,0.0,0.1756296800544588,0.191286589516678,0.0,0.0
623,605194,0.3381128584643848,0.22571692876965774,0.1341350601295097,0.2160037002775208,0.08603145235892692,0.0,0.0,0.0,0.0,0.0
624,605195,0.5075711689884919,0.2380375529981829,0.11326468806783767,0.02786190187764991,0.0,0.0,0.11326468806783767,0.0,0.0,0.0
625,451596,0.3112180298809825,0.21372499366928335,0.21043302101797923,0.11040769815143074,0.15421625728032412,0.0,0.0,0.0,0.0,0.0
626,521230,0.6075870646766169,0.2332089552238806,0.12251243781094527,0.00808457711442786,0.028606965174129355,0.0,0.0,0.0,0.0,0.0
627,605200,0.0,0.004053409632808774,0.575107296137339,0.13543156890796376,0.1568907963757749,0.0,0.1285169289461135,0.0,0.0,0.0
628,279571,0.4602649006622517,0.343046357615894,0.09205298013245033,0.003973509933774834,0.10066225165562914,0.0,0.0,0.0,0.0,0.0
629,605204,0.40476190476190477,0.0,0.5476190476190477,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
630,435221,0.1608286252354049,0.03992467043314501,0.0,0.013935969868173258,0.2248587570621469,0.2858757062146893,0.2745762711864407,0.0,0.0,0.0
631,543766,0.007207207207207207,0.13378378378378378,0.0,0.00045045045045045046,0.0,0.0,0.8585585585585586,0.0,0.0,0.0
632,594965,0.6316695352839932,0.0,0.012048192771084338,0.16523235800344235,0.03098106712564544,0.0,0.16006884681583478,0.0,0.0,0.0
633,642073,0.45248868778280543,0.4638009049773756,0.0,0.05429864253393665,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
634,457754,0.5755395683453237,0.381294964028777,0.0,0.0,0.04316546762589928,0.0,0.0,0.0,0.0,0.0
635,607259,0.38127090301003347,0.0,0.18171683389074694,0.11705685618729098,0.18729096989966554,0.0,0.1326644370122631,0.0,0.0,0.0
636,500765,0.5580524344569289,0.2397003745318352,0.04119850187265917,0.16104868913857678,0.0,0.0,0.0,0.0,0.0,0.0
637,605218,0.7270973963355835,0.0,0.00048216007714561236,0.00048216007714561236,0.2719382835101254,0.0,0.0,0.0,0.0,0.0
638,543779,0.6088235294117647,0.0,0.01764705882352941,0.18529411764705883,0.18823529411764706,0.0,0.0,0.0,0.0,0.0
639,547874,0.2108695652173913,0.0,0.0,0.0,0.06956521739130435,0.18478260869565216,0.34130434782608693,0.0,0.1934782608695652,0.0
640,642083,0.378076062639821,0.21700223713646533,0.0,0.11409395973154363,0.0,0.29082774049217003,0.0,0.0,0.0,0.0
641,605222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
642,519203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,457768,0.309375,0.0,0.0,0.003125,0.11875,0.253125,0.315625,0.0,0.0,0.0
644,461865,0.6777777777777778,0.06666666666666667,0.0,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0
645,594986,0.3114754098360656,0.0,0.0,0.05737704918032787,0.040983606557377046,0.3442622950819672,0.2459016393442623,0.0,0.0,0.0
646,500779,0.43295398317664524,0.0,0.0,0.07966353290450272,0.26587497938314364,0.2215075045357084,0.0,0.0,0.0,0.0
647,656427,0.38715159755268524,0.29333786539768864,0.17063222297756628,0.03399048266485384,0.0,0.0,0.0,0.11488783140720599,0.0,0.0
648,594987,0.0,0.22093023255813954,0.0,0.06976744186046512,0.11627906976744186,0.5930232558139535,0.0,0.0,0.0,0.0
649,547888,0.17931962329425333,0.32481260811070534,0.0,0.0,0.049971170478570054,0.12319815491062848,0.046703824716509704,0.0,0.2759946184893331,0.0
650,605232,0.32689210950080516,0.19162640901771336,0.0,0.13848631239935588,0.0,0.34299516908212563,0.0,0.0,0.0,0.0
651,461872,0.498567335243553,0.5002865329512894,0.001146131805157593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,594992,0.30633284241531666,0.39322533136966126,0.0,0.0014727540500736377,0.0,0.29896907216494845,0.0,0.0,0.0,0.0
653,642098,0.5682758620689655,0.25103448275862067,0.001379310344827586,0.09379310344827586,0.08551724137931034,0.0,0.0,0.0,0.0,0.0
654,605240,0.14622178606476938,0.009813542688910697,0.2198233562315996,0.10304219823356231,0.22767419038272815,0.0,0.2934249263984298,0.0,0.0,0.0
655,595001,0.3235294117647059,0.185121107266436,0.08131487889273356,0.02768166089965398,0.15397923875432526,0.0,0.22837370242214533,0.0,0.0,0.0
656,605242,0.26564191383416325,0.22537345745832432,0.33946741718986795,0.16691924659017104,0.0,0.0,0.0,0.002597964927473479,0.0,0.0
657,664641,0.5773420479302832,0.25163398692810457,0.0,0.0,0.0014524328249818446,0.0,0.0,0.0,0.16957153231663036,0.0
658,433217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
659,595014,0.1628303495311168,0.2412617220801364,0.0,0.03495311167945439,0.0,0.5098039215686274,0.05115089514066496,0.0,0.0,0.0
660,605254,0.3595733875063484,0.23362112747587607,0.16607414931437278,0.10259014728288471,0.13814118842051804,0.0,0.0,0.0,0.0,0.0
661,519240,0.001402524544179523,0.32538569424964936,0.0,0.09256661991584852,0.0,0.5806451612903226,0.0,0.0,0.0,0.0
662,605255,0.3696060037523452,0.30206378986866794,0.15572232645403378,0.0,0.1726078799249531,0.0,0.0,0.0,0.0,0.0
663,519242,0.37771053958648515,0.33602286098503953,0.10573205580769877,0.1805345436207766,0.0,0.0,0.0,0.0,0.0,0.0
664,605260,0.27325581395348836,0.0,0.0,0.09302325581395349,0.13953488372093023,0.47093023255813954,0.023255813953488372,0.0,0.0,0.0
665,451661,0.7658095899930507,0.0,0.0,0.03822098679638638,0.0,0.0,0.0,0.1959694232105629,0.0,0.0
